Temps;Déplacement;Déformation 1;Force
(s);(mm);(%);(kN)
"12,1000";"0,3861";"-0,4866";"4,8399"
"12,2000";"0,3893";"-0,4855";"4,8670"
"12,3000";"0,3925";"-0,4843";"4,8945"
"12,4000";"0,3956";"-0,4833";"4,9186"
"12,5000";"0,3988";"-0,4822";"4,9466"
"12,6000";"0,4021";"-0,4811";"4,9740"
"12,7000";"0,4052";"-0,4799";"4,9993"
"12,8000";"0,4085";"-0,4789";"5,0261"
"12,9000";"0,4118";"-0,4776";"5,0549"
"13,0000";"0,4149";"-0,4766";"5,0798"
"13,1000";"0,4181";"-0,4755";"5,1061"
"13,2000";"0,4212";"-0,4744";"5,1340"
"13,3000";"0,4245";"-0,4733";"5,1636"
"13,4000";"0,4276";"-0,4722";"5,1896"
"13,5000";"0,4308";"-0,4711";"5,2191"
"13,6000";"0,4340";"-0,4699";"5,2496"
"13,7000";"0,4373";"-0,4688";"5,2805"
"13,8000";"0,4404";"-0,4677";"5,3075"
"13,9000";"0,4437";"-0,4665";"5,3382"
"14,0000";"0,4469";"-0,4654";"5,3679"
"14,1000";"0,4501";"-0,4643";"5,3941"
"14,2000";"0,4532";"-0,4631";"5,4227"
"14,3000";"0,4565";"-0,4619";"5,4525"
"14,4000";"0,4596";"-0,4608";"5,4806"
"14,5000";"0,4628";"-0,4598";"5,5087"
"14,6000";"0,4661";"-0,4585";"5,5392"
"14,7000";"0,4693";"-0,4574";"5,5682"
"14,8000";"0,4725";"-0,4564";"5,5947"
"14,9000";"0,4757";"-0,4553";"5,6218"
"15,0000";"0,4789";"-0,4541";"5,6515"
"15,1000";"0,4821";"-0,4530";"5,6789"
"15,2000";"0,4852";"-0,4519";"5,7051"
"15,3000";"0,4884";"-0,4508";"5,7333"
"15,4000";"0,4917";"-0,4496";"5,7646"
"15,5000";"0,4948";"-0,4485";"5,7899"
"15,6000";"0,4981";"-0,4473";"5,8181"
"15,7000";"0,5013";"-0,4461";"5,8473"
"15,8000";"0,5045";"-0,4450";"5,8745"
"15,9000";"0,5076";"-0,4439";"5,9001"
"16,0000";"0,5109";"-0,4426";"5,9286"
"16,1000";"0,5141";"-0,4415";"5,9564"
"16,2000";"0,5172";"-0,4404";"5,9826"
"16,3000";"0,5204";"-0,4393";"6,0087"
"16,4000";"0,5237";"-0,4381";"6,0378"
"16,5000";"0,5269";"-0,4369";"6,0652"
"16,6000";"0,5301";"-0,4358";"6,0911"
"16,7000";"0,5333";"-0,4346";"6,1181"
"16,8000";"0,5366";"-0,4335";"6,1475"
"16,9000";"0,5396";"-0,4323";"6,1705"
"17,0000";"0,5428";"-0,4311";"6,1973"
"17,1000";"0,5460";"-0,4299";"6,2241"
"17,2000";"0,5493";"-0,4287";"6,2507"
"17,3000";"0,5524";"-0,4276";"6,2759"
"17,4000";"0,5557";"-0,4264";"6,3042"
"17,5000";"0,5589";"-0,4251";"6,3317"
"17,6000";"0,5621";"-0,4239";"6,3577"
"17,7000";"0,5653";"-0,4228";"6,3833"
"17,8000";"0,5685";"-0,4215";"6,4107"
"17,9000";"0,5717";"-0,4203";"6,4370"
"18,0000";"0,5748";"-0,4192";"6,4620"
"18,1000";"0,5780";"-0,4179";"6,4898"
"18,2000";"0,5813";"-0,4167";"6,5188"
"18,3000";"0,5844";"-0,4155";"6,5443"
"18,4000";"0,5876";"-0,4142";"6,5716"
"18,5000";"0,5909";"-0,4130";"6,6007"
"18,6000";"0,5941";"-0,4118";"6,6260"
"18,7000";"0,5973";"-0,4107";"6,6513"
"18,8000";"0,6004";"-0,4095";"6,6772"
"18,9000";"0,6037";"-0,4082";"6,7061"
"19,0000";"0,6068";"-0,4070";"6,7306"
"19,1000";"0,6100";"-0,4059";"6,7567"
"19,2000";"0,6132";"-0,4046";"6,7840"
"19,3000";"0,6165";"-0,4033";"6,8128"
"19,4000";"0,6197";"-0,4021";"6,8359"
"19,5000";"0,6229";"-0,4008";"6,8626"
"19,6000";"0,6261";"-0,3996";"6,8897"
"19,7000";"0,6293";"-0,3984";"6,9140"
"19,8000";"0,6324";"-0,3972";"6,9383"
"19,9000";"0,6357";"-0,3960";"6,9650"
"20,0000";"0,6388";"-0,3948";"6,9898"
"20,1000";"0,6420";"-0,3937";"7,0148"
"20,2000";"0,6452";"-0,3924";"7,0394"
"20,3000";"0,6485";"-0,3912";"7,0669"
"20,4000";"0,6517";"-0,3900";"7,0904"
